,Network,Ligand_name,BespokeFit_ID,Smiles,BespokeParameters
0,shp2,lig_11,216,CC1(CCN(CC1)c2cnc(c(n2)NC)c3cccc(c3Cl)Cl)[NH3+],True
1,shp2,lig_E5,200,CC1(CCN(CC1)c2ncc(c(n2)N)c3cc(cc(c3Cl)Cl)OC)[NH3+],True
2,shp2,lig_E29,205,CC1(CCN(CC1)c2cnc(c(n2)N)C3=CCCCC3)[NH3+],True
3,shp2,lig_E3,211,CC1(CCN(CC1)c2ncc(c(n2)N)c3ccc(s3)Cl)[NH3+],True
4,shp2,lig_E1,209,CC1(CCN(CC1)c2ncc(c(n2)N)c3cccc(c3Cl)Cl)[NH3+],True
5,shp2,lig_3,195,C[C@@H]1CN(C[C@@H]([NH2+]1)C)c2ncc(c(n2)N)c3cccc(c3)Cl,True
6,shp2,lig_SHP099-1,210,CC1(CCN(CC1)c2cnc(c(n2)N)c3cccc(c3Cl)Cl)[NH3+],True
7,shp2,lig_E24,196,Cc1c(nc(c(n1)c2cccc(c2Cl)Cl)N)N3CCC(CC3)(C)[NH3+],True
8,shp2,lig_E9,206,c1cc(c(c(c1)Cl)Cl)c2c(nc(cn2)N3CCC(CC3)C[NH3+])N,True
9,shp2,lig_E14,208,c1cc(c(c(c1)Cl)Cl)c2c(nc(cn2)[N@]3CC[C@H](C3)C[NH3+])N,False
10,shp2,lig_E22,214,CC1(CCN(CC1)c2c(nc(c(n2)N)c3cccc(c3Cl)Cl)Br)[NH3+],True
11,shp2,lig_SHP836-2,218,C[C@@H]1CN(C[C@@H]([NH2+]1)C)c2ncc(c(n2)N)c3cccc(c3Cl)Cl,True
12,shp2,lig_7,203,C[NH+](C)C1CCN(CC1)c2ncc(c(n2)N)c3cccc(c3Cl)Cl,True
13,shp2,lig_6,217,c1cc(c(c(c1)Cl)Cl)c2cnc(nc2N)N3CCC(CC3)[NH3+],True
14,shp2,lig_E6,213,CC1(CCN(CC1)c2ncc(c(n2)N)c3cc(cc(c3Cl)Cl)O)[NH3+],True
15,shp2,lig_E4,215,Cc1ccc(s1)c2cnc(nc2N)N3CCC(CC3)(C)[NH3+],True
16,shp2,lig_E28,199,CC1(CCN(CC1)c2cnc(c(n2)N)c3cccc4c3[nH]cc4)[NH3+],True
17,shp2,lig_E25,207,CC1(CCN(CC1)c2c(nc(c(n2)N)c3cccc(c3Cl)Cl)C#N)[NH3+],True
18,shp2,lig_10,204,CC1(CCN(CC1)c2cnc(cn2)c3cccc(c3Cl)Cl)[NH3+],True
